accessibility,population_acc1km_percentage_young,population_acc1km_percentage_female,population_acc1km_percentage_child,population_acc1km_percentage_middle,population_acc1km_percentage_elder,population_acc1km_percentage_male,population_acc1km_percentage,population_acc1km_percentage_BuiltUp,population_acc1km_percentage_Other
10290.87,1.1,1.15,0.39,0.35,0.5,1.18,2.34,0.0,2.34
10290.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10291.5,0.53,0.66,0.39,0.26,0.22,0.72,1.39,1.39,0.0
10291.68,15.72,23.31,10.73,8.9,10.69,22.73,46.04,46.04,0.0
10291.69,5.74,8.4,3.1,3.35,5.22,9.0,17.41,17.41,0.0
10291.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10292.12,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.0
10292.26,16.34,17.4,6.43,6.28,6.12,17.77,35.17,35.17,0.0
10292.42,23.36,29.83,19.96,9.73,8.5,31.72,61.56,61.56,0.0
10292.45,4.55,7.91,4.64,3.26,3.22,7.76,15.67,15.67,0.0
10292.5,6.77,9.25,5.03,3.26,3.78,9.6,18.84,18.84,0.0
10292.81,12.99,13.66,4.63,4.2,5.87,14.03,27.68,27.68,0.0
10292.9,3.62,6.52,2.74,2.99,3.85,6.68,13.2,13.2,0.0
10293.21,0.35,0.37,0.14,0.13,0.13,0.38,0.75,0.75,0.0
10293.31,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01
10293.73,16.94,21.24,12.91,7.29,6.63,22.53,43.78,43.78,0.0
10293.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10293.98,11.15,15.97,5.64,5.4,9.06,15.29,31.26,31.26,0.0
10294.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10294.26,38.68,45.59,32.28,15.0,8.35,48.71,94.3,94.3,0.0
10294.57,4.48,8.9,4.4,3.69,5.55,9.22,18.12,18.12,0.0
10294.62,6.65,13.59,5.8,6.09,9.32,14.27,27.86,27.86,0.0
10295.53,9.17,12.52,6.81,4.42,5.11,12.99,25.51,25.51,0.0
10295.68,3.75,7.66,3.27,3.44,5.25,8.05,15.71,15.71,0.0
10295.69,7.07,10.37,3.82,4.13,6.44,11.1,21.47,21.47,0.0
10295.99,0.01,0.01,0.01,0.0,0.01,0.01,0.03,0.0,0.03
10296.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10296.17,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
10296.9,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.01
10297.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10297.32,14.26,18.14,8.43,6.05,7.59,18.19,36.33,36.33,0.0
10297.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10297.65,12.36,13.16,4.86,4.75,4.63,13.44,26.6,26.6,0.0
10297.78,0.0,0.01,0.0,0.0,0.0,0.01,0.02,0.0,0.02
10298.01,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.01
10298.09,0.5,0.69,0.45,0.29,0.14,0.68,0.0,0.0,0.0
10298.1,0.0,0.0,0.0,0.0,0.0,0.0,1.38,1.38,0.0
10298.14,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.0
10298.33,0.46,0.88,0.38,0.38,0.56,0.9,1.78,1.78,0.0
10298.49,5.59,9.3,3.92,3.54,5.55,9.29,18.6,18.6,0.0
10298.51,20.04,24.07,14.63,8.4,7.71,26.71,50.78,50.78,0.0
10298.67,19.92,24.97,15.18,8.57,7.79,26.49,51.46,51.46,0.0
10298.77,16.41,15.74,6.58,4.76,4.58,16.59,32.33,32.33,0.0
10298.87,2.34,4.22,1.77,1.94,2.49,4.33,8.55,8.55,0.0
10298.9,6.81,7.95,3.29,2.75,2.89,7.79,15.74,15.74,0.0
10299.13,7.39,10.09,5.49,3.56,4.12,10.47,0.0,0.0,0.0
10299.14,0.0,0.0,0.0,0.0,0.0,0.0,20.55,20.55,0.0
10299.49,7.87,11.55,4.62,4.88,6.29,12.12,23.67,23.67,0.0
10299.56,12.36,13.15,4.86,4.75,4.62,13.43,26.59,26.59,0.0
10299.62,5.81,9.67,4.08,3.68,5.77,9.67,19.34,19.34,0.0
10299.79,0.6,0.93,0.48,0.36,0.51,1.03,1.96,0.0,1.96
10300.13,21.2,20.33,8.5,6.14,5.92,21.43,41.77,41.77,0.0
10300.33,28.83,33.69,18.97,10.54,11.06,35.71,69.4,69.4,0.0
10300.38,9.41,13.95,6.42,5.33,6.4,13.6,27.55,27.55,0.0
10300.46,12.55,12.04,5.03,3.64,3.51,12.69,24.73,24.73,0.0
10300.87,2.64,5.63,2.24,2.28,4.19,5.71,11.35,11.35,0.0
10300.99,1.79,3.82,1.52,1.55,2.84,3.88,7.7,7.7,0.0
10301.32,2.76,5.91,2.35,2.39,4.4,5.99,11.9,11.9,0.0
10301.58,0.01,0.02,0.01,0.01,0.01,0.02,0.03,0.0,0.03
10301.69,2.71,5.79,2.3,2.34,4.31,5.87,11.66,11.66,0.0
10301.77,0.69,1.12,0.61,0.43,0.64,1.24,2.36,0.0,2.36
10301.8,10.65,13.35,7.76,5.18,4.32,14.56,27.91,27.91,0.0
10301.88,21.62,25.27,14.22,7.9,8.3,26.78,52.05,52.05,0.0
10301.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10301.91,28.26,33.02,18.59,10.33,10.84,35.0,68.02,68.02,0.0
10302.16,5.38,8.95,3.77,3.41,5.34,8.94,17.89,17.89,0.0
10302.18,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01
10302.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10302.25,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01
10302.35,3.0,6.4,2.54,2.59,4.76,6.49,12.89,12.89,0.0
10302.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10302.47,6.81,13.11,7.36,6.99,4.72,12.78,25.89,25.89,0.0
10302.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10302.55,10.42,13.08,7.01,4.89,4.7,13.94,27.03,27.03,0.0
10302.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10302.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10302.96,2.98,6.36,2.53,2.58,4.74,6.46,12.82,12.82,0.0
10303.32,3.58,7.11,3.51,2.95,4.43,7.36,14.47,14.47,0.0
10303.48,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
10303.55,10.91,10.46,4.37,3.16,3.05,11.03,0.0,0.0,0.0
