value,evcs
497.5803,0
1593.6906,0
1622.2365,0
1293.4939,0
2201.5056,0
1792.2347,0
1422.9459,0
880.6881,0
1181.9635,0
288.45642,0
1319.3806,0
868.73883,0
1207.6283,0
3224.8867,0
932.24023,0
1207.3787,0
1736.3716,0
863.243,0
1437.6744,0
160.77867,0
278.7772,0
0.0055283573,0
126.73756,0
149.64485,0
118.36131,0
95.27224,0
3067.2407,0
2390.2725,0
656.31995,0
162.22841,0
1260.621,0
1591.3539,0
653.3654,0
0.18089098,0
368.10547,0
4.311512,0
183.68495,0
2029.4971,0
2313.5754,0
1215.6787,0
803.5842,0
236.3374,0
227.16599,0
268.1865,0
2216.2102,0
1217.0209,0
535.5209,0
0.007147169,0
7.259305,0
907.0739,0
3610.807,0
2431.0674,0
1666.2502,0
218.35217,0
172.84193,0
92.50488,0
119.05611,0
143.38309,0
0.07082777,0
24.373356,0
500.0968,0
1011.12115,0
2749.4016,0
2182.5085,0
2328.2742,0
687.2174,0
327.28162,0
84.15761,0
100.538795,0
122.5485,0
1464.6298,0
966.97864,0
1159.6895,0
1053.4165,0
667.61475,0
33.339806,0
54.847397,0
98.06401,0
795.6991,0
1258.4011,0
2633.8687,0
1526.2207,0
1385.8671,0
962.74207,0
833.89636,0
431.3467,0
788.2991,0
63.722446,0
1188.7954,0
1680.2703,0
1456.8865,0
2733.5876,0
1762.9564,0
1516.3391,0
2240.9968,0
736.8179,0
992.31537,0
501.82892,0
535.7144,0
89.39621,0
29.375525,0
979.91174,0
210.60124,0
1022.48474,0
848.62006,0
323.3448,0
987.9437,0
1046.9047,0
60.580395,0
461.39914,0
356.3648,0
301.4528,0
203.81598,0
23.444971,0
217.74905,0
37.84037,0
66.88958,0
34.886654,0
29.860863,0
328.8939,0
9.265858,0
58.328426,0
177.57568,0
157.59457,0
178.62096,0
254.44249,0
87.74134,0
28.172369,0
202.86221,0
130.13081,0
101.523125,0
83.656586,0
1802.3251,0
1385.3911,0
1818.3512,0
1396.8156,0
1598.9817,0
1455.4388,0
1490.5457,0
1926.0084,0
0.005013417,0
374.97064,0
30.079367,0
3.9190195,0
51.025425,0
2947.118,0
2512.0122,0
847.67993,0
1261.1648,0
262.5581,0
0.10655961,0
0.52650976,0
0.023171308,0
0.31682217,0
0.096169814,0
1.892483,0
5.4307857,0
0.003312615,0
0.047566473,0
6.876683,0
0.5395063,0
5.2519712,0
263.2027,0
998.3886,0
803.44324,0
2513.4485,0
0.0035145914,0
66.05321,0
0.2536575,0
24.176146,0
55.4569,0
1517.0151,0
1213.1104,0
505.33115,0
5.943135,0
0.061895803,0
4.9660506,0
9.4877615,0
143.42615,0
0.0032856178,0
0.099476434,0
3.905882,0
14.080489,0
5.0511227,0
14.270997,0
9.909366,0
189.97058,0
350.04556,0
1190.8518,0
1747.4932,0
1831.2876,0
2364.1646,0
3362.6755,0
3464.7566,0
3635.8118,0
111.914925,0
1989.156,0
634.0421,0
0.033321124,0
0.14962961,0
0.0023387282,0
0.001075875,0
0.0011218697,0
0.2502179,0
5.157437,0
11.636083,0
0.28317207,0
0.018704824,0
0.0068532033,0
0.12969393,0
0.22834244,0
514.2611,0
904.49365,0
2778.6965,0
3653.7583,0
933.3652,0
1863.4626,0
3461.011,0
0.029118612,0
0.09775864,0
18.693796,0
729.8928,0
499.46866,0
1731.8916,0
1295.9287,0
697.92505,0
792.06665,0
697.49304,0
901.938,0
38.807056,0
1405.5638,0
1392.5251,0
1664.2765,0
865.1034,0
615.4647,0
599.1097,0
720.9278,0
172.10161,0
250.93532,0
2279.0388,0
1349.4423,0
0.10173817,0
0.0042445064,0
0.011990606,0
0.0010708756,0
0.41216707,0
855.6075,0
96.911995,0
30.788074,0
803.9736,0
1713.1274,0
1099.235,0
1931.1681,0
259.8423,0
862.97015,0
2141.7922,0
2116.8428,0
859.8074,0
356.13245,0
431.71606,0
3446.7637,0
3321.9292,0
2999.987,0
3211.9756,0
786.3803,0
82.45617,0
185.0038,0
0.038117565,0
0.0034396,0
2.3334923e-14,0
5.338706,0
0.06979289,0
0.029485572,0
0.0039855368,0
116.918365,0
2.7456203e-13,0
1.255674,0
218.36879,0
596.03595,0
1055.0253,0
1059.0754,0
393.9891,0
1789.9917,0
2643.889,0
2929.3452,0
2386.301,0
1638.6562,0
1822.2603,0
1652.0747,0
2300.2642,0
2079.546,0
1255.5188,0
429.61166,0
475.28705,0
449.08582,0
235.64893,0
1937.3413,0
1.6633856,0
0.002570701,0
20.239462,0
355.59573,0
11.878944,0
66.25995,0
3.2708607,0
2.3460417e-13,0
9.8186724e-14,0
3.088884,0
91.393166,0
1401.5059,0
856.61304,0
2427.226,0
2094.082,0
2121.6904,0
1843.2571,0
2244.6511,0
1958.3448,0
1249.2637,0
2263.2358,0
2116.5752,0
1513.7123,0
788.0373,0
672.881,0
683.2353,0
840.03754,0
797.69495,0
1200.8342,0
1923.5844,0
2298.8398,0
1373.3959,0
636.73505,0
3.6066365e-14,0
2.071988,0
116.206314,0
712.11005,0
1162.905,0
735.58936,0
920.0298,0
802.04645,0
1219.7017,0
1147.3096,0
